Recipient,Tome 1,Tome 2 ,Tome 3,Tome 4,Tome 5,Tome 6,Tome 7,Tome 8,Tome 9, Person labels
Alexander I,,,,,,,,2,,politics
Bernadotte,,,,,,,,12,10,politics
Bonaparte (Joseph),,,,22,,1,1,CHECK,CHECK,politics
Bonaparte (Napoleon),,,,,,,5,,,politics
Brinkman (Carl Gustav von),,,,10,,,,39,,politics
Byron,,,,,,,,3,,literary
Chateaubriand,,,,,1,,1,,1,literary
"Constant, Benjamin",,,,,3,1,3,13,22,"politics, lover"
"Devonshire (Elizabeth Hervey, Duchess of)",,,,,,,,12,18,aristocrat
Gibbon (Edward),1,6,,,,,,,,literary
Goethe,,,,1,21,1,1,,,literary
Humboldt (Wilhelm),,,,,,,1,,,philosophy
La Rochefoucauld (Gaetan),,,,,,,,,4,literary
Le Ray du Chaumont,,,1,,1,1,2,,,politics
Louis XVIII,,,,,,,,,2,politics
Metternich,,,,,,,,4,1,politics
"Narbonne (Louis, comte de)",,127,,,,,,,,"politics, lover"
"Necker (Jaques, father)",,,,8,50,,,,,family
"Necker (Suzanne, mother)",9,,,,,,,,,family
Necker de Saussure (Albertine),CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,3,CHECK,
Pictet (Adolphe),CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,
Pidou (August),,,,,,,,,28,
Recamier (Mme),,,,4,5,52,82,9,CHECK,"socialite, salonniere"
"Rocca (Albert Jean Michel de, husband)",,,,,,CHECK,1,74,CHECK,family
Schelling (Friedrich),,,,,,1,,,,literary
Schiller (Friedrich von),,,,,3,,,,,literary
Schlegel (August Wilhelm),,,,,,,,11,,literary
Schlegel (Friedrich),,,,,2,3,,,,literary
Sismondi,,,,3,4,6,14,4,19,economist
Souza (don Pedro de),,,,,13,21,,,,"politics, lover"
"Stael (Albert de, son)",,,,CHECK,CHECK,CHECK,15,8,,family
"Stael (Albertine, daughter)",,,,,1,2,2,CHECK,CHECK,family
Stael (Auguste son),,,,,11,22,5,2,CHECK,family
Stael-Holstein (Baron de),245,27,103,11,,,,,,family
Talleyrand,,,,,,2,,,4,"politics, lover"
Vigee-Lebrun (Mme),,,,,,1,1,,,artist
Wilberforce (William),,,,,,,,,1,"politics, abolitionism"
,,,,,,,,,,
"Includes ""petites postes""",,,,,,,,,,
,,,,,,,,,,
Boissy d'Anglais,,,,,,,,,,
A C Thibaudet,,,,,,,,,,
Rosalie de Constant,,,,,,,,,,
Samuel de Constant,,,,,,,,,,
Henri Meister,,,,,,,,,,
