Author,Recipient ,Date*,Date (MM/DD/YYYY),Location from,Location to,Keywords,Notes,Source
Anna Maria Brodeau Thornton,Thomas Jefferson,#VALUE!,01/15/1808,,,Corinne,Sharing copies of Corinne,https://founders.archives.gov/?q=corinne&s=1111311111&sa=&r=4&sr=
David Montague Erskine,Thomas Jefferson,,01/16/1808,,,Corinne,Sharing copies of Corinne,https://founders.archives.gov/?q=corinne&s=1111311111&sa=&r=5&sr=
John Quincy Adams,Abigal Adams,,01/18/1797,,,"A Treatise upon the Influence of the Passions upon the Happiness of individuals and of Nations, French","John Quincy Adams tells Abigal he will be sending some French texts ""and among them a very curious work"" of Staël's: A Treatise upon the Influence of the Passions upon the Happiness of individuals and of Nations. ",https://founders.archives.gov/
Gouverneur Morris,George Washington,,01/24/1790,,,salon,Describing salons held at Staël's house to discuss arguments ,https://founders.archives.gov/documents/Washington/05-05-02-0030
Louisa Catherine Adams,John Quincy Adams,,01/31/1797,,,"book, A Treatise upon the Influence of the Passions upon the Happiness of individuals and of Nations","Louisa Catherine Adams tells John Quincy that, per John Quincy's recommendation, she intends to read A Treatise upon the Influence of the Passions upon the Happiness of individuals and of Nations, but she would prefer to learn philosophy from him. ",https://founders.archives.gov/
Gouverneur Morris,George Washington,,02/04/1792,,,"Charles-Maurice de Talleyrand-Périgord, Narbonne, revolution, king, Antoine Claude Nicolas Valdec de Lessart ","Discussing rumors around Staël's affair with Narbonne and Charles-Maurice de Talleyrand-Périgord. Morris describes a ""coldness"" between Narbone and Talleyrand- Périgord that arose from these rumors. He says that Talleyrand- Périgord tried to get Narbonne appointed to foriegn affairs, but the king appointed Lessart ""because of the great indiscretion"" of de Staël. ",https://founders.archives.gov/documents/Washington/05-09-02-0317
Joseph Milligan,Thomas Jefferson,,03/08/1809,,,Corinne,ACCOUNTS (not correspondence),https://founders.archives.gov/?q=corinne&s=1111311111&sa=&r=7&sr=
Peter Roche,Thomas Jefferson,,04/12/1806,,,Delphine,ACCOUNTS (not correspondence),https://founders.archives.gov/?q=delphine&s=1111311111&sa=&r=3&sr=
Stael,Thomas Jefferson,,04/25/1807,Paris,,,,https://founders.archives.gov/documents/Jefferson/99-01-02-5509
Joseph Milligan,Thomas Jefferson,,04/30/1808,,,Corinne,ACCOUNTS (not correspondence),https://founders.archives.gov/?q=corinne&s=1111311111&sa=&r=6&sr=
Louisa Catherine Adams,John Quincy Adams,,05/13/1804,,,"Delphine, morals, divorce, novel","Louisa Catherine Adams writes John Quincy Adams after reading Delphine. She reads Staël as endorsing divorce and says that this text is ""calculated to destroy every moral principal to destroy every tie which binds society together.""",https://founders.archives.gov/documents/Adams/04-15-02-0207
John Quincy Adams,Louisa Catherine Adams,,05/25/1804,,,"divorce, revolution, French, monarchy, marriage","John Quincy Adams responds to Louisa Catherine Adams. He says he has not read Delphine yet, but he will if he can get a copy. He reassures Louisa that he does not agree with Staël's endorsement of divorce. He thinks her opinions on divorce come from her ""having sacrificed all deceny as well as all virtue in her own conduct"" and from the French ""who could not promise to love any thing for life."" He signs the letter ensuring Louisa of his devotion to marriage: ""I am my dearest Louisa, whatever Madame de Staal, or the french haters may say, for life, most affectionately yours.""",https://founders.archives.gov/
Thomas Jefferson,Stael,,05/28/1813,"""United States of America"" ",,,,https://founders.archives.gov/documents/Jefferson/03-06-02-0140
John Graham,Thomas Jefferson,,06/28/1813,Washington D.C.,,,,https://founders.archives.gov/documents/Jefferson/03-06-02-0210
Lefray De Chaumont,Thomas Jefferson,,07/12/1807,,,"Nantes, book, letter","Chaumont sends Jefferson, from Staël, a letter and a copy of her book. ",https://founders.archives.gov/
